Instructor ID,First Name,Last Name,Courses Assigned,,,,,,
P001,John,Doe,"Math101, AI102, Programming 101",,,,,,
P002,Jane,Smith,"CS101, Database Systems, Artificial Intelligence",,,,,,
P003,Michael,Brown,"DataSci301, Networking Essentials, Digital Marketing",,,,,,
P004,Emily,Johnson,"ML202, Data Mining, Big Data Analytics",,,,,,
P005,David,Davis,"CloudComp202, Software Engineering",,,,,,
P006,Sarah,Miller,"Stats103, CyberSecurity101, Data Mining",,,,,,
P007,Robert,Wilson,"Computer Networks, DataSci301, AI101",,,,,,
P008,Jessica,Moore,"WebDev301, Digital Marketing, Artificial Intelligence",,,,,,
P009,William,Taylor,"Programming 101, Networking Essentials, Big Data Analytics",,,,,,
P010,Olivia,Anderson,"CyberSecurity101, AI102, Software Engineering, Computer Networks",,,,,,
