student_id,name & surname,enrolled_courses,,,,,,
S1,Amy White,"C13 (CyberSecurity101), C18 (Big Data Analytics), C12 (Programming 101)",,,,,,
S2,Bob Green,"C1 (Math101), C16 (Software Engineering), C9 (Computer Networks), C19 (Digital Marketing)",,,,,,
S3,Charlie Blue,"C13 (CyberSecurity101), C12 (Programming 101), C6 (DataSci301)",,,,,,
S4,Diana Yellow,"C2 (CS101), C18 (Artificial Intelligence), C16 (Software Engineering)",,,,,,
S5,Eva Red,"C17 (Big Data Analytics), C2 (CS101), C7 (WebDev301)",,,,,,
S6,Frank Black,"C8 (CloudComp202), C18 (Artificial Intelligence), C12 (Programming 101)",,,,,,
S7,Grace Pink,"C13 (CyberSecurity101), C7 (WebDev301), C19 (Digital Marketing), C5 (ML202), C16 (Software Engineering)",,,,,,
S8,Henry Orange,"C16 (Software Engineering), C7 (WebDev301), C6 (DataSci301), C8 (CloudComp202), C19 (Digital Marketing)",,,,,,
S9,Ivy Purple,"C9 (Computer Networks), C6 (DataSci301), C2 (CS101)",,,,,,
S10,Jack Brown,"C7 (WebDev301), C1 (Math101), C17 (Big Data Analytics), C10 (Database Systems)",,,,,,
S11,Laura Grey,"C5 (ML202), C13 (CyberSecurity101)",,,,,,
S12,Mike Blue,"C17 (Big Data Analytics), C7 (WebDev301), C6 (DataSci301)",,,,,,
S13,Nora White,"C5 (ML202), C6 (DataSci301), C7 (WebDev301)",,,,,,
S14,Olivia Black,"C9 (Computer Networks), C17 (Big Data Analytics), C6 (DataSci301)",,,,,,
S15,Peter Green,"C13 (CyberSecurity101), C12 (Programming 101), C18 (Artificial Intelligence), C16 (Software Engineering)",,,,,,
S16,Quentin Yellow,"C16 (Software Engineering), C2 (CS101)",,,,,,
S17,Rachel Brown,"C17 (Big Data Analytics), C5 (ML202), C9 (Computer Networks), C2 (CS101)",,,,,,
S18,Sam Red,"C7 (WebDev301), C2 (CS101), C16 (Software Engineering)",,,,,,
S19,Tim Orange,"C13 (CyberSecurity101), C17 (Big Data Analytics), C10 (Database Systems)",,,,,,
S20,Ursula Pink,"C7 (WebDev301), C17 (Big Data Analytics), C16 (Software Engineering), C10 (Database Systems)",,,,,,
S21,Victor Blue,"C16 (Software Engineering), C7 (WebDev301), C18 (Artificial Intelligence)",,,,,,
S22,Wanda Green,"C5 (ML202), C6 (DataSci301), C9 (Computer Networks)",,,,,,
S23,Xander Grey,"C2 (CS101), C10 (Database Systems), C18 (Artificial Intelligence), C12 (Programming 101)",,,,,,
S24,Yara White,"C16 (Software Engineering), C7 (WebDev301), C17 (Big Data Analytics)",,,,,,
S25,Zack Brown,"C7 (WebDev301), C5 (ML202), C19 (Digital Marketing), C10 (Database Systems)",,,,,,
S26,Alice Red,"C9 (Computer Networks), C6 (DataSci301), C18 (Artificial Intelligence)",,,,,,
S27,Brian Black,"C8 (CloudComp202), C12 (Programming 101), C2 (CS101)",,,,,,
S28,Cathy Pink,"C13 (CyberSecurity101), C2 (CS101), C10 (Database Systems), C12 (Programming 101)",,,,,,
S29,Derek Orange,"C7 (WebDev301), C9 (Computer Networks), C6 (DataSci301), C2 (CS101)",,,,,,
S30,Elena Purple,"C18 (Artificial Intelligence), C7 (WebDev301), C19 (Digital Marketing), C10 (Database Systems)",,,,,,
